Macro time on ka.upc.edu: 12/05/2013 18:27:01; Problema ID: 1198; Temps total: 3.3683919906616;
Macro time on ka.upc.edu: 12/05/2013 18:29:30; Problema ID: 1198; Temps total: 5.5840289592743;
Macro time on ka.upc.edu: 12/05/2013 18:30:14; Problema ID: 1198; Temps total: 3.9219760894775;
Macro time on ka.upc.edu: 12/05/2013 18:51:25; Problema ID: 1437; Temps total: 5.3356890678406;
Macro time on ka.upc.edu: 12/05/2013 18:54:56; Problema ID: 1281; Temps total: 5.4766819477081;
Macro time on ka.upc.edu: 12/05/2013 18:55:57; Problema ID: 1437; Temps total: 4.7854390144348;
Macro time on ka.upc.edu: 12/05/2013 18:58:58; Problema ID: 1437; Temps total: 4.8065400123596;
Macro time on ka.upc.edu: 12/05/2013 19:00:45; Problema ID: 1437; Temps total: 4.7554349899292;
Macro time on ka.upc.edu: 12/05/2013 19:01:40; Problema ID: 1281; Temps total: 2.7580680847168;
Macro time on ka.upc.edu: 12/05/2013 19:02:56; Problema ID: 1437; Temps total: 4.5748109817505;
Macro time on ka.upc.edu: 12/05/2013 19:04:50; Problema ID: 1437; Temps total: 4.4679248332977;
Macro time on ka.upc.edu: 12/05/2013 19:07:26; Problema ID: 1441; Temps total: 4.7784581184387;
Macro time on ka.upc.edu: 12/05/2013 19:09:54; Problema ID: 1281; Temps total: 4.0141701698303;
Macro time on ka.upc.edu: 12/05/2013 19:10:28; Problema ID: 1397; Temps total: 5.4163060188293;
Macro time on ka.upc.edu: 12/05/2013 19:11:22; Problema ID: 1441; Temps total: 4.6173160076141;
Macro time on ka.upc.edu: 12/05/2013 19:11:27; Problema ID: 1198; Temps total: 3.3617899417877;
Macro time on ka.upc.edu: 12/05/2013 19:14:41; Problema ID: 1441; Temps total: 4.8818678855896;
Macro time on ka.upc.edu: 12/05/2013 19:19:19; Problema ID: 1441; Temps total: 5.0364239215851;
Macro time on ka.upc.edu: 12/05/2013 19:19:48; Problema ID: 1441; Temps total: 3.8786330223083;
Macro time on ka.upc.edu: 12/05/2013 19:21:56; Problema ID: 1441; Temps total: 4.8425190448761;
Macro time on ka.upc.edu: 12/05/2013 19:24:30; Problema ID: 1441; Temps total: 4.8174951076508;
Macro time on ka.upc.edu: 12/05/2013 19:26:10; Problema ID: 1281; Temps total: 2.8941600322723;
Macro time on ka.upc.edu: 12/05/2013 19:28:03; Problema ID: 1443; Temps total: 5.0157949924469;
Macro time on ka.upc.edu: 12/05/2013 19:30:14; Problema ID: 1281; Temps total: 3.0442509651184;
Macro time on ka.upc.edu: 12/05/2013 19:38:27; Problema ID: 1198; Temps total: 2.7346220016479;
Macro time on ka.upc.edu: 12/05/2013 19:41:18; Problema ID: 1198; Temps total: 2.6493780612946;
Macro time on ka.upc.edu: 12/05/2013 19:59:06; Problema ID: 1281; Temps total: 2.5594279766083;
Macro time on ka.upc.edu: 12/05/2013 20:04:18; Problema ID: 1275; Temps total: 4.5776851177216;
Macro time on ka.upc.edu: 12/05/2013 20:06:02; Problema ID: 1275; Temps total: 1.9466700553894;
Macro time on ka.upc.edu: 12/05/2013 20:10:47; Problema ID: 1275; Temps total: 3.117819070816;
Macro time on ka.upc.edu: 12/05/2013 20:26:27; Problema ID: 1262; Temps total: 4.3276560306549;
Macro time on ka.upc.edu: 12/05/2013 20:46:39; Problema ID: 1204; Temps total: 3.3426740169525;
Macro time on ka.upc.edu: 12/05/2013 20:47:39; Problema ID: 1275; Temps total: 3.2761650085449;
Macro time on ka.upc.edu: 12/05/2013 20:59:50; Problema ID: 1198; Temps total: 4.2576739788055;
Macro time on ka.upc.edu: 12/05/2013 21:01:07; Problema ID: 1198; Temps total: 6.6262519359589;
Macro time on ka.upc.edu: 12/05/2013 21:07:53; Problema ID: 1198; Temps total: 6.2970650196075;
Macro time on ka.upc.edu: 12/05/2013 21:09:50; Problema ID: 1198; Temps total: 3.7390930652618;
Macro time on ka.upc.edu: 12/05/2013 21:27:30; Problema ID: 1247; Temps total: 5.6575589179993;
Macro time on ka.upc.edu: 12/05/2013 21:28:47; Problema ID: 1247; Temps total: 2.8521199226379;
Macro time on ka.upc.edu: 12/05/2013 21:29:18; Problema ID: 1247; Temps total: 2.9469680786133;
Macro time on ka.upc.edu: 12/05/2013 21:30:33; Problema ID: 1252; Temps total: 4.2736370563507;
Macro time on ka.upc.edu: 12/05/2013 21:31:43; Problema ID: 1247; Temps total: 2.7215158939362;
Macro time on ka.upc.edu: 12/05/2013 21:32:41; Problema ID: 1247; Temps total: 2.9778659343719;
Macro time on ka.upc.edu: 12/05/2013 21:32:54; Problema ID: 1247; Temps total: 4.3969571590424;
Macro time on ka.upc.edu: 12/05/2013 21:34:22; Problema ID: 1397; Temps total: 3.4940841197968;
Macro time on ka.upc.edu: 12/05/2013 21:36:39; Problema ID: 1252; Temps total: 1.8260519504547;
Macro time on ka.upc.edu: 12/05/2013 21:42:01; Problema ID: 1247; Temps total: 2.9711990356445;
Macro time on ka.upc.edu: 12/05/2013 21:44:07; Problema ID: 1247; Temps total: 2.9185690879822;
Macro time on ka.upc.edu: 12/05/2013 21:49:44; Problema ID: 1198; Temps total: 5.6336059570312;
Macro time on ka.upc.edu: 12/05/2013 21:51:33; Problema ID: 1198; Temps total: 4.452351808548;
Macro time on ka.upc.edu: 12/05/2013 21:52:23; Problema ID: 1397; Temps total: 5.1754939556122;
Macro time on ka.upc.edu: 12/05/2013 21:54:40; Problema ID: 1198; Temps total: 3.0278391838074;
Macro time on ka.upc.edu: 12/05/2013 21:57:07; Problema ID: 1252; Temps total: 2.1175060272217;
Macro time on ka.upc.edu: 12/05/2013 21:58:04; Problema ID: 1401; Temps total: 2.9597887992859;
Macro time on ka.upc.edu: 12/05/2013 22:04:03; Problema ID: 1252; Temps total: 2.3333230018616;
Macro time on ka.upc.edu: 12/05/2013 22:09:05; Problema ID: 1198; Temps total: 4.2226052284241;
Macro time on ka.upc.edu: 12/05/2013 22:14:23; Problema ID: 1198; Temps total: 3.8945679664612;
Macro time on ka.upc.edu: 12/05/2013 22:17:21; Problema ID: 1198; Temps total: 5.3543241024017;
Macro time on ka.upc.edu: 12/05/2013 22:17:45; Problema ID: 1198; Temps total: 2.4817318916321;
Macro time on ka.upc.edu: 12/05/2013 22:19:06; Problema ID: 1262; Temps total: 4.3027489185333;
